"Date","Open","High","Low","Close","Volume"
"03/18/2021","232.56","234.19","230.33","230.72","34,852,250"
"03/17/2021","236.15","238.55","233.23","237.04","29,562,100"
"03/16/2021","236.28","240.055","235.94","237.71","28,092,200"
"03/15/2021","234.96","235.185","231.81","234.81","26,042,670"
"03/12/2021","234.01","235.82","233.23","235.75","22,653,660"
"03/11/2021","234.96","239.17","234.31","237.13","29,907,590"
"03/10/2021","237","237","232.04","232.42","29,746,810"
"03/09/2021","232.88","235.3839","231.67","233.78","33,080,530"
"03/08/2021","231.37","233.365","227.13","227.39","35,267,440"
"03/05/2021","229.517","233.27","226.46","231.6","41,872,770"
"03/04/2021","226.735","232.49","224.26","226.73","44,727,790"
"03/03/2021","232.155","233.5799","227.26","227.56","34,029,530"
"03/02/2021","237.01","237.3","233.45","233.87","22,812,460"
"03/01/2021","235.9","237.47","233.15","236.94","25,332,840"
"02/26/2021","231.525","235.37","229.54","232.38","37,819,230"
"02/25/2021","232.08","234.5852","227.88","228.99","39,542,240"
"02/24/2021","230.01","235.2","229","234.55","26,339,750"
"02/23/2021","230.325","234.83","228.73","233.27","30,228,700"
"02/22/2021","237.42","237.93","232.4","234.51","36,446,940"
"02/19/2021","243.75","243.86","240.18","240.97","25,262,600"
"02/18/2021","241.8","243.93","240.86","243.79","16,925,560"
"02/17/2021","241.32","244.31","240.94","244.2","21,673,110"
"02/16/2021","245.03","246.13","242.92","243.7","26,728,490"
"02/12/2021","243.933","245.3","242.73","244.99","16,561,080"
"02/11/2021","244.78","245.15","242.15","244.49","15,751,060"
"02/10/2021","245","245.92","240.89","242.82","22,186,710"
"02/09/2021","241.87","244.76","241.38","243.77","23,564,950"
"02/08/2021","243.15","243.68","240.81","242.47","22,211,930"
"02/05/2021","242.23","243.28","240.42","242.2","18,054,750"
"02/04/2021","242.66","243.2399","240.37","242.01","25,296,100"
"02/03/2021","239.57","245.09","239.26","243","27,158,100"
"02/02/2021","241.3","242.31","238.69","239.51","25,916,340"
"02/01/2021","235.06","242.5","232.43","239.65","33,314,190"
"01/29/2021","235.99","238.02","231.35","231.96","42,503,140"
"01/28/2021","235.61","242.64","235.09","238.93","49,111,160"
"01/27/2021","238","240.44","230.14","232.9","69,870,640"
"01/26/2021","231.86","234.18","230.08","232.33","49,169,600"
"01/25/2021","229.12","229.78","224.22","229.53","33,152,100"
"01/22/2021","227.08","230.07","225.8","225.95","30,172,660"
